topic,Count,Name,Representation,Representative_Docs,dominant_emotion
77,42,77_km_sismo_magnitud_chile,"['km', 'sismo', 'magnitud', 'chile', 'preliminar', 'profundidad', 'al', 'mw', 'sismos', 'testimonios']","['sismo km al o de navidad: preliminar: no magnitud: . profundidad: . km hora cerca del epicentro... chile', 'sismo km al o de arica: preliminar: si magnitud: profundidad: km hora cerca del epicentro: ... chile', 'chile km al o de arica: preliminar: si magnitud: profundidad: km hora cerca del epicentro: ... sismo']",trust
78,40,78_yolandaph_tacloban_yolanda_oblation,"['yolandaph', 'tacloban', 'yolanda', 'oblation', 'statue', 'stands', 'ruins', 'resilient', 'looking', 'children']","['rt : the oblation statue in up tacloban stands, resilient, among the ruins of yolandaph. | via', ""rt : photo via : children are all out in tacloban's streets looking for food yolandaph"", 'rt : those who want to donate for yolandaph victims:']",trust
79,40,79_pablo_con_buena_jodas,"['pablo', 'con', 'buena', 'jodas', 'yeahh', 'juancarlos', 'alvaro', 'pss', 'miriam', 'tarde']","['rt : buena barbacoa con pablo y rubi http: ...', 'rt : buena tarde con pablo y el cabron del primo de pozo ejeje', 'buena tarde con pablo... :)']",trust
80,39,80_bundaberg_bigwet_burnett_residents,"['bundaberg', 'bigwet', 'burnett', 'residents', 'evacuation', 'north', 'walla', 'exclusion', 'river', 'civic']","['rt : police calling for immediate evacuation of bundaberg north. bigwet', 'rt : evacuation centre in bundaberg. more than flood-affected residents evacuated because of bigwet. h ...', 'rt : bundaberg north residents please evacuate immediately to civic centre, n bundaberg ss or friends &amp; relatives bigwet']",trust
81,38,81_schools_vivian_persists_minister,"['schools', 'vivian', 'persists', 'minister', 'school', 'situation', 'close', 'task', 'formed', 'sch']","['rt : minister vivian: sghaze task force formed, schools may close if situation persists', 'rt : minister vivian: sghaze task force formed, schools may close if situation persists', 'rt : minister vivian: sghaze task force formed, schools may close if situation persists']",trust
82,38,82_classes_levels_walangpasok_suspended,"['classes', 'levels', 'walangpasok', 'suspended', 'resume', 'suspends', 'private', 'tomorrow', 'public', 'mayor']","['classes are suspended, august (thursday) walangpasok all levels! due to tropical storm maringph and floodph', 'rt : update: province of batangas - classes in all levels, suspended. public and private schools. maringph walangpasok @…', 'rt : classes in all levels in cebu city will be suspended tom pabloph walangpasok | via']",trust
83,37,83_earthquake_feel_was_woy,"['earthquake', 'feel', 'was', 'woy', 'that', 'lol', 'damn', 'trend', 'fell', 'felt']","[""rt : not in la but i'm all over this trend right now! earthquake omg you feel that?! crazy!!"", ""rt : not in la but i'm all over this trend right now! earthquake omg you feel that?! crazy!!"", 'rt : earthquake']",joy
84,37,84_enteré_animogalicia_gran_noticia,"['enteré', 'animogalicia', 'gran', 'noticia', 'tristeza', 'accidente', 'españa', 'es', 'con', 'me']","['rt : es con gran tristeza que me enteré de la noticia del accidente de tren en españa. animogalicia', 'rt : es con gran tristeza que me enteré de la noticia del accidente de tren en españa. animogalicia', 'rt : es con gran tristeza que me enteré de la noticia del accidente de tren en españa. animogalicia']",trust
85,37,85_derailment_prayers_metro_north,"['derailment', 'prayers', 'metro', 'north', 'morning', 'those', 'bronx', 'train', 'nyc', 'injured']","['rt : let us pray for those killed and injured in the terrible metro north train derailment this morning in the bronx.', 'rt : let us pray for those killed and injured in the terrible metro north train derailment this morning in the bronx.', 'rt : let us pray for those killed and injured in the terrible metro north train derailment this morning in the bronx.']",trust
86,36,86_located_eye_dec_southeast,"['located', 'eye', 'dec', 'southeast', 'hinatuan', 'surigao', 'pabloph', 'sur', 'km', 'pm']","['rt : at : pm /dec/ , the eye of typhoon pabloph was located southeast of hinatuan, surigao del sur... http:/ ...', 'rt : at : pm /dec/ , the eye of typhoon pabloph was located southeast of hinatuan, surigao del sur... http:/ ...', 'rt : at : pm /dec/ , the eye of typhoon pabloph was located southeast of hinatuan, surigao del sur... http:/ ...']",trust
87,36,87_millions_shelter_clean_appeal,"['millions', 'shelter', 'clean', 'appeal', 'their', 'donate', 'water', 'need', 'haiyan', 'there']","['rt : millions in the philippines need clean water &amp; shelter now. is there: donate to their haiyan appeal!', 'rt : millions in the philippines need clean water &amp; shelter now. is there: donate to their haiyan appeal!', 'rt : millions in the philippines need clean water &amp; shelter now. is there: donate to their haiyan appeal!']",trust
88,34,88_bieber_justin_believetour_final,"['bieber', 'justin', 'believetour', 'final', 'date', 'haiyan', 'typhoon', 'victims', 'visits', 'philippines']","['rt : justin bieber final date on believetour - the philippines to help victims of typhoon haiyan http…', 'rt : justin bieber final date on believetour - the philippines to help victims of typhoon haiyan http…', 'rt : justin bieber final date on believetour - the philippines to help victims of typhoon haiyan http…']",trust
89,34,89_pabloph_donate_pablo_victims,"['pabloph', 'donate', 'pablo', 'victims', 'items', 'typhoon', 'donations', 'food', 'cash', 'families']","['rt : my prayers go out to all who are affected by typhoon pablo. if you have clothes or any items you wish to donate, please c ...', 'rt : typhoon pablo update report (total served): food items - , families non-food items- , families hot... http:/ ...', 'rt : typhoon pablo update report (total served): food items - , families non-food items- , families hot... http:/ ...']",trust
90,34,90_church_loboc_bohol_historical,"['church', 'loboc', 'bohol', 'historical', 'churches', 'prayforvisayas', 'before', 'bless', 'earthquake', 'prayforbohol']","['rt : the historical loboc church in bohol :( before &amp; after earthquake prayforvisayas god bless the philippines', 'rt : the historical loboc church in bohol :( before &amp; after earthquake prayforvisayas god bless the philippines', 'rt : the historical loboc church in bohol :( before &amp; after earthquake prayforvisayas god bless the philippines']",trust
91,33,91_prayfromjapan_usgs_pasthour_alert,"['prayfromjapan', 'usgs', 'pasthour', 'alert', 'tsunami', 'gmt', 'september', 'alaska', 'california', 'earthquake']","['【 usgs alert】 m . , southern california: september , : : gmt earthquake tsunami prayfromjapan', '【 usgs alert】 m . , central california: september , : : gmt earthquake tsunami prayfromjapan', '【 usgs alert】 m . , central california: september , : : gmt earthquake tsunami prayfromjapan']",joy
92,32,92_ml_utc_lon_lat,"['ml', 'utc', 'lon', 'lat', 'prov', 'prof', 'reggio', 'km', 'mantova', 'modena']","['rt : terremoto ml: . - - : : utc lat= . lon= . prof= . km prov=mantova,reggio emilia,modena', 'rt : terremoto ml: . - - : : utc lat= . lon= . prof= . km prov=mantova,reggio emilia,modena', 'rt : terremoto ml: . - - : : utc lat= . lon= . prof= . km prov=reggio emilia,modena']",trust
93,32,93_推定_緊急地震速報_深さ_発生,"['推定', '緊急地震速報', '深さ', '発生', '詳細', '最大震度', '千葉県北東部で地震', 'km', '最終報', 'earthquake']","['rt : ■■緊急地震速報(第 報)■■ 千葉県北東部で地震 最大震度 (推定) [詳細] / / : : 発生 m . 深さ km earthquake', 'rt : ■■緊急地震速報(第 報)■■ 千葉県北東部で地震 最大震度 (推定) [詳細] / / : : 発生 m . 深さ km earthquake', 'rt : ■■緊急地震速報(第 報)■■ 千葉県北東部で地震 最大震度 (推定) [詳細] / / : : 発生 m . 深さ km earthquake']",trust
94,32,94_river_abflood_high_drumheller,"['river', 'abflood', 'high', 'drumheller', 'morgan', 'view', 'bow', 'canmore', 'banks', 'dam']","['rt : rt : the river is a rising in drumheller. difference after hours. abflood', 'rt : must see flooding pic from high river, ab rt : rt : high river abstorm abflood', 'rt : just incredible rt : rt high river rt : arial view of high river. wow. abflood']",trust
95,30,95_thankfully_italy_concerns_scary,"['thankfully', 'italy', 'concerns', 'scary', 'ok', 'thank', 'praying', 'but', 'your', 'everyone']","['rt : thank you for all of your concerns!! earthquake was scary but thankfully everyone is ok. praying for italy', 'rt : thank you for all of your concerns!! earthquake was scary but thankfully everyone is ok. praying for italy', 'rt : thank you for all of your concerns!! earthquake was scary but thankfully everyone is ok. praying for italy']",trust
96,30,96_rana_plaza_orang_korban,"['rana', 'plaza', 'orang', 'korban', 'ambruknya', 'tewas', 'runtuhnya', 'gedung', 'ditemukan', 'kembali']","['jasad korban ambruknya rana plaza kembali ditemukan, total orang tewas: petugas penyelamat berhasil menemu...', 'jasad korban ambruknya rana plaza kembali ditemukan, total orang tewas: petugas penyelamat berhasil menemu...', 'jasad korban ambruknya rana plaza kembali ditemukan, total orang tewas']",anger
97,29,97_struggling_taxis_provide_transport,"['struggling', 'taxis', 'provide', 'transport', 'loved', 'ones', 'visit', 'free', 'anyone', 'll']","[""rt : anyone with loved ones in hospital from clutha &amp; struggling for transport to visit, we'll provide free taxis"", ""rt : anyone with loved ones in hospital from clutha &amp; struggling for transport to visit, we'll provide free taxis"", ""rt : anyone with loved ones in hospital from clutha &amp; struggling for transport to visit, we'll provide free taxis""]",trust
98,29,98_km_oct_depth_tagbilaran,"['km', 'oct', 'depth', 'tagbilaran', 'epicenter', 'nueva', 'ago', 'vida', 'sur', 'philippines']","['rt : . earthquake, km s of nueva vida sur, philippines. oct : at epicenter ( m ago, km tagbilaran, depth... http…', 'rt : . earthquake, km s of nueva vida sur, philippines. oct : at epicenter ( m ago, km tagbilaran, depth... http…', 'rt : . earthquake, km s of nueva vida sur, philippines. oct : at epicenter ( m ago, km tagbilaran, depth... http…']",trust
99,28,99_cristiano_ronaldo_viajará_donar,"['cristiano', 'ronaldo', 'viajará', 'donar', 'sangre', 'ocurrido', 'grandísim', 'lo', 'accidente', 'compostela']","['rt : cristiano ronaldo viajará a santiago de compostela para donar sangre por lo ocurrido en el accidente de tren ¡grandísim…', 'rt : cristiano ronaldo viajará a santiago de compostela para donar sangre por lo ocurrido en el accidente de tren ¡grandísim…', 'rt : cristiano ronaldo viajará a santiago de compostela para donar sangre por lo ocurrido en el accidente de tren ¡grandísim…']",trust
100,28,100_prayers_go_colorado_out,"['prayers', 'go', 'colorado', 'out', 'springs', 'navy', 'dealing', 'everyone', 'navyyardshooting', 'timberline']","['rt : my thoughts and prayers go out to everyone in colorado dealing with the floods and also to everyone in d.c at the navy …', 'rt : my thoughts and prayers go out to everyone in colorado dealing with the floods and also to everyone in d.c at the navy …', 'rt : my thoughts and prayers go out to everyone in colorado dealing with the floods and also to everyone in d.c at the navy …']",trust
101,28,101_prayforthephilippines_beggar_floodph_die,"['prayforthephilippines', 'beggar', 'floodph', 'die', 'yuck', 'its', 'rather', 'better', 'philippines', 'time']","['rt : its your time to die who live in the philippines prayforthephilippines floodph', 'rt : its your time to die who live in the philippines prayforthephilippines floodph', ': yuck in the philippines are so many beggar people so better die prayforthephilippines floodph shut up']",anger
102,27,102_volcanic_eruption_zealand_drought,"['volcanic', 'eruption', 'zealand', 'drought', 'africa', 'snow', 'trust', 'california', 'usa', 'manila']","['rt : snow in africa, drought in usa, flood in manila, volcanic eruption in new zealand and earthquake in california. trust go ...', 'rt : snow in africa, drought in usa, flood in manila, volcanic eruption in new zealand and earthquake in california. trust go ...', 'rt : snow in africa, drought in usa, flood in manila, volcanic eruption in new zealand and earthquake in california. trust go ...']",trust
103,27,103_saddledome_row_dressing_yycflood,"['saddledome', 'row', 'dressing', 'yycflood', 'rooms', 'nhl', 'play', 'hold', 'submerged', 'show']","['rt : breaking: water is up to row at saddledome. dressing rooms completely submerged. yycflood nhl”', 'rt : breaking: water is up to row at saddledome. dressing rooms completely submerged. yycflood nhl”', 'rt : breaking: water is up to row at saddledome. dressing rooms completely submerged. yycflood nhl”']",trust
104,27,104_co_jobs_springs_job,"['co', 'jobs', 'springs', 'job', 'colorado', 'vacancy', 'management', 'manager', 'looking', 'ayp']","['wyzant jobs coloradosprings a student in colorado springs, co is looking for a tutor in elementary (k- th):', 'colorado new jobs $ software architect ( - ) at northrop grumman (colorado springs, co)', 'co jobs | biosurgery tbm colorado springs at baxter international (denver, co) job hiring cojobs']",trust
105,27,105_centroamérica_costera_brasil_hasta,"['centroamérica', 'costera', 'brasil', 'hasta', 'toda', 'desde', 'zona', 'hay', 'alerta', 'tras']","['rt : tras el sismo de , en costarica hay alerta de tsunami para toda la zona costera desde centroamérica hasta brasil: http: ...', 'rt : tras el sismo de , en costarica hay alerta de tsunami para toda la zona costera desde centroamérica hasta brasil: http: ...', 'rt : tras el sismo de , en costarica hay alerta de tsunami para toda la zona costera desde centroamérica hasta brasil: http: ...']",fear
106,27,106_réplicas_sienten_fuertes_tras,"['réplicas', 'sienten', 'fuertes', 'tras', 'magnitud', 'país', 'costarica', 'sacudió', 'ahora', 'se']","['rt : fuertes réplicas se sienten ahora en costarica tras sismo de magnitud , que sacudió el país:', 'rt : fuertes réplicas se sienten ahora en costarica tras sismo de magnitud , que sacudió el país:', 'rt : fuertes réplicas se sienten ahora en costarica tras sismo de magnitud , que sacudió el país:']",trust
107,27,107_prayforboston_boston_bostonmarathon_bostonstrong,"['prayforboston', 'boston', 'bostonmarathon', 'bostonstrong', 'scared', 'pray', 'heart', 'ayy', 'jwil', 'legtly']","['rt : my heart, love, and prayers go out to anyone affected by the sad events in boston. prayforboston', 'rt : thoughts go out to those in boston. prayforboston', 'pray for boston prayforboston']",trust
108,27,108_stranraer_mckeown_frank_clyde,"['stranraer', 'mckeown', 'frank', 'clyde', 'fireman', 'working', 'till', 'captained', 'player', 'captain']","['rt : my hero of the day...frank mckeown who captained stranraer at clyde after working till am at the glasgow helicopter …', 'rt : my hero of the day...frank mckeown who captained stranraer at clyde after working till am at the glasgow helicopter …', 'rt : my hero of the day...frank mckeown who captained stranraer at clyde after working till am at the glasgow helicopter …']",trust
109,27,109_itunes_efforts_contribute_relief,"['itunes', 'efforts', 'contribute', 'relief', 'haiyan', 'donate', 'songsforthephilippines', 'included', 'version', 'songs']","['rt : contribute to haiyan relief efforts. donate to the via itunes at', 'rt : contribute to haiyan relief efforts. donate to the via itunes at', 'rt : contribute to haiyan relief efforts. donate to the via itunes at']",trust
110,26,110_pablo_pray_typhoon_let,"['pablo', 'pray', 'typhoon', 'let', 'valley', 'victims', 'cagayan', 'god', 'pabloph', 'path']","['let us pray for all those who were affected by typhoon pablo', 'let us all pray for the victims of typhoon pablo!', ""rt : let's pray for the victims of typhoon pablo.""]",trust
111,26,111_fracking_spills_gas_coflood,"['fracking', 'spills', 'gas', 'coflood', 'flooding', 'colorado', 'frack', 'site', 'hearing', 'oil']","['rt : and other u.s. congressmen call for hearing on flood-triggered oil, gas spills fracking boulderflood http:…', ""rt : after the coflood, fracking operations are leaking. tell : stop co's fracking flood …"", 'a fracking disaster? coflood']",trust
112,25,112_password_wifi_togliete_fi,"['password', 'wifi', 'togliete', 'fi', 'wi', 'senza', 'vostro', 'iperbole', 'togliere', 'le']","['rt : wifi gratis e senza password: wife (ferrara), iperbole (bologna), goomobile (bondeno) terremoto rt rt', 'rt : togliete le password del vostro wifi nelle zone terremoto potrebbe essere molto di aiuto per chi deve ...', 'rt : togliete le password del vostro wifi nelle zone terremoto potrebbe essere molto di aiuto per chi deve ...']",trust
113,25,113_conductor_españa_tren_descarriló,"['conductor', 'españa', 'tren', 'descarriló', 'del', 'accidentado', 'homicidio', 'descarrilado', 'alta', 'velocidad']","['rt : me quiero morir, dijo el conductor del tren que descarriló en españa', 'detienen al conductor del tren que se descarriló en españa', 'detienen al conductor del tren que se descarriló en españa: (cnn) – el conductor del tren que descarriló este ...']",trust
114,25,114_rescueph_believe_occur_this,"['rescueph', 'believe', 'occur', 'this', 'fucking', 'can', 'cannot', 'really', 'giggled', 'kaira']","['rescueph omg, like i cannot believe this person', 'rescueph really?! wow. really?! i can not believe this!', 'rescueph babyshambles follows me personally. omg. will be this. i can not believe this, my dear fucking god.']",trust
115,25,115_explosión_amuay_predijo_la,"['explosión', 'amuay', 'predijo', 'la', 'detectan', 'opinión', 'pública', 'comunicado', 'último', 'audio']","['rt : último minuto// detectan nuevo incendio en uno de los tanques afectados por la explosión de amuay. más detalles en ...', 'rt : rt : último minuto// detectan nuevo incendio n uno de los tanques afectados por la explosión de amuay. más d ...', 'rt : rt : último minuto// detectan nuevo incendio n uno de los tanques afectados por la explosión de amuay. más d ...']",trust
116,24,116_red_text_lt_cross,"['red', 'text', 'lt', 'cross', 'smart', 'gt', 'donate', 'maring', 'subs', 'or']","['rt : help victims of maring. pls donate to the red cross. for smart, please text red &lt; , , , or &gt; to go rescueph', 'rt : help victims of maring. pls donate to the red cross. for smart, please text red &lt; , , , or &gt; to go rescueph', 'rt : help victims of maring. pls donate to the red cross. for smart, please text red &lt; , , , or &gt; to go rescueph']",trust
117,24,117_olds_dare_homeless_threa,"['olds', 'dare', 'homeless', 'threa', 'far', 'bomb', 'man', 'year', 'prayfortexas', 'week']","['rt : so far this week - prayfortexas - prayforboston - two year olds killed a homeless man as a dare - bomb threa ...', 'rt : so far this week - prayfortexas - prayforboston - two year olds killed a homeless man as a dare - bomb threa ...', 'rt : so far this week - prayfortexas - prayforboston - two year olds killed a homeless man as a dare - bomb threa ...']",sadness
118,24,118_fotos_rica_imágenes_costa,"['fotos', 'rica', 'imágenes', 'costa', 'muestran', 'primeras', 'terremoto', 'costarica', 'fuerte', 'remecida']","['rt : fotos: costa rica fue remecida por el segundo terremoto más fuerte de su historia.', 'fotos: costa rica fue remecida por el segundo terremoto más fuerte de su historia vía', 'rt : [fotos] imágenes muestran consecuencias del terremoto , richter en costa rica']",trust
119,23,119_blood_donor_clutha_centre,"['blood', 'donor', 'clutha', 'centre', 'nelson', 'mandela', 'open', 'important', 'glasgow', 'if']","['rt : very important, please rt : if you can, the blood donor centre in glasgow is open from . am clutha http…', 'rt : very important, please rt if you can, the blood donor centre in glasgow is open from . am clutha', 'rt : : very important, please rt if you can, the blood donor centre in glasgow is open from . am clutha']",trust
120,23,120_falcón_falcon_nuestra_rodaje,"['falcón', 'falcon', 'nuestra', 'rodaje', 'venezuela', 'pleno', 'puntofijo', 'evitar', 'podemos', 'estado']","['rt : en pleno trabajo d rodaje,no podemos evitar la tristeza x nuestra gente del estado falcón,venezuela. amuay', 'rt : en pleno trabajo d rodaje,no podemos evitar la tristeza x nuestra gente del estado falcón,venezuela. amuay', 'rt : en pleno trabajo d rodaje,no podemos evitar la tristeza x nuestra gente del estado falcón,venezuela. amuay']",trust
121,23,121_obama_president_plans_rages,"['obama', 'president', 'plans', 'rages', 'colorado', 'monster', 'wildfires', 'visit', 'wildfire', 'tour']","['monster colorado wildfire rages; obama plans visit', ""'monster' colorado wildfire rages; obama plans visit...: 'monster' colorado wildfire rages; obama plans visit......"", 'rt : monster colorado wildfire rages; obama plans visit']",trust
122,22,122_texas_waco_explosión_usine,"['texas', 'waco', 'explosión', 'usine', 'west', 'otra', 'expande', 'engrais', 'explosion', 'elle']","['rt : [foto westtx] - momento en el que se expande el humo de la explosión en waco, texas:', 'rt : momento en el que se expande el humo de la explosión en waco, texas:', 'la explosión no fue en waco, fue en west, texas! waco esta muy cerca de west!']",trust
123,21,123_liberia_sep_epicenter_depth,"['liberia', 'sep', 'epicenter', 'depth', 'km', 'ago', 'am', 'coast', 'rica', 'costa']","['rt : . earthquake, off the coast of costa rica. sep : am at epicenter ( m ago, km s of liberia, depth km). http: ...', 'rt : . earthquake, off the coast of costa rica. sep : am at epicenter ( m ago, km s of liberia, depth km). http: ...', 'rt : . earthquake, off the coast of costa rica. sep : am at epicenter ( m ago, km s of liberia, depth km). http: ...']",trust
124,21,124_temblorgt_impactantes_imágenes_devastación,"['temblorgt', 'impactantes', 'imágenes', 'devastación', 'ocasiono', 'devastador', 'temblor', 'temblorcr', 'luego', 'ucr']","['rt : impactantes imágenes de lo que ocasiono el devastador temblor temblorgt', 'rt : impactantes imágenes de lo que ocasiono el devastador temblor temblorgt', 'rt : impactantes imágenes de lo que ocasiono el devastador temblor temblorgt']",trust
125,21,125_sacude_urgente_magnitud_sismo,"['sacude', 'urgente', 'magnitud', 'sismo', 'guatemala', 'notitweets', 'amparalos', 'intensos', 'protegelos', 'rescates']","['rt : urgente: sismo de magnitud , sacude guatemala', 'rt : urgente: sismo de magnitud , sacude guatemala', 'rt : urgente: sismo de magnitud , sacude guatemala']",trust
126,20,126_refinery_venezuela_venezuelan_spreads,"['refinery', 'venezuela', 'venezuelan', 'spreads', 'aday', 'restart', 'blaze', 'fire', 'tank', 'burns']","['rt : venezuela refinery fire spreads', 'venezuela refinery fire spreads', 'fires burn at venezuela refinery: two tanks are still on fire at the amuay refinery in northern venezuela after ...']",trust
127,20,127_hook_girl_sandy_running,"['hook', 'girl', 'sandy', 'running', 'kids', 'old', 'while', 'explosions', 'year', 'prayforboston']","[""rt : r.i.p. to the year-old girl who died in boston's explosions, while running for the sandy hook kids. prayforboston ..."", ""rt : r.i.p. to the year-old girl who died in boston's explosions, while running for the sandy hook kids. prayforboston ..."", ""rt : r.i.p. to the year-old girl who died in boston's explosions, while running for the sandy hook kids. prayforboston ...""]",sadness
128,20,128_ndrrmc_pabloph_missing_pablo,"['ndrrmc', 'pabloph', 'missing', 'pablo', 'tally', 'dead', 'newstvlive', 'due', 'latest', 'casualty']","[""rt : dead, missing due to 'pablo' - ndrrmc pabloph"", 'rt : latest from ndrrmc: dead, , injured, missing due to typhoon pablo pabloph', 'rt : latest from ndrrmc: dead, , injured, missing due to typhoon pablo pabloph']",sadness
129,20,129_water_boil_calgarians_yyc,"['water', 'boil', 'calgarians', 'yyc', 'yycflood', 'asks', 'drinking', 'quality', 'widely', 'limit']","['- the city asks that calgarians limit water use as much as possible. thank you. yyc yycflood', 'rt : please rt widely - the city asks that calgarians limit water use as much as possible. thank you. yyc yycflood', 'rt : please rt widely - the city asks that calgarians limit water use as much as possible. thank you. yyc yycflood”']",trust
130,20,130_terrible_support_central_families,"['terrible', 'support', 'central', 'families', 'due', 'hit', 'today', 'victims', 'my', 'all']","['rt : all my support to the families of the victims due to the terrible earthquake that hit central philippines today.', 'rt : all my support to the families of the victims due to the terrible earthquake that hit central philippines today.', 'rt : all my support to the families of the victims due to the terrible earthquake that hit central philippines today.']",sadness
131,20,131_room_commuters_options_commute,"['room', 'commuters', 'options', 'commute', 'affect', 'city', 'york', 'av', 'derailment', 'new']","['city room: new york today: after derailment, best options for commuters: what you need to know for tuesday: av...', 'city room: new york today: how derailment could affect your commute: your options if you take metro-no...', 'city room: new york today: how derailment could affect your commute: your options if you take metro-no...']",anticipation
132,20,132_tifón_filipinas_haiyan_vientos,"['tifón', 'filipinas', 'haiyan', 'vientos', 'más', 'sostenidos', 'imagen', 'poderoso', 'el', 'bopha']","['tifón haiyan deja tres muertos en filipinas', 'terrible tifón yolanda filipinas', 'más de . muertos y desaparecidos por el tifón bopha en filipinas']",trust
133,19,133_coast_magnitude_pacific_off,"['coast', 'magnitude', 'pacific', 'off', 'usgs', 'guatemala', 'earthquake', 'hits', 'wtvr', 'struck']","["": magnitude . earthquake hits off guatemala's pacific coast - usgs"", ""rt : magnitude . earthquake hits off guatemala's pacific coast - usgs"", ""rt : magnitude . earthquake hits off guatemala's pacific coast - usgs""]",trust
134,19,134_typhoons_war_luzon_mindanao,"['typhoons', 'war', 'luzon', 'mindanao', 'visayas', 'dear', 'pray', 'our', 'philippines', 'earthquake']","['rt : luzon: typhoons visayas: earthquake mindanao: war pray for our dear philippines.', 'rt : “ : luzon: typhoons visayas: earthquake mindanao: war pray for our dear philippines.”', 'rt : luzon: typhoons visayas: earthquake mindanao: war pray for our dear philippines.']",trust
135,19,135_evacuated_yycflood_yyc_yyccc,"['evacuated', 'yycflood', 'yyc', 'yyccc', 'centre', 'residences', 'lodging', 'abemerg', 'extensive', 'opened']","[""rt : a google map showing yyc evacuated area's. extensive - much downtown. yycflood evacuated community yycre"", ""rt : we've opened residences to those evacuated due to yycflood. if you need lodging visit an abemerg response centre fir…"", ""rt : we've opened residences to those evacuated due to yycflood. if you need lodging visit an abemerg response centre fir…""]",trust
136,18,136_ramirez_ramírez_rafael_amuay,"['ramirez', 'ramírez', 'rafael', 'amuay', 'ministro', 'funcionando', 'tanque', 'tercer', 'descaro', 'restablece']","['rt : min ramírez confirma q un tercer tanque se incendia también en amuay', 'rt : que descaro! ahora ramirez no tiene apuro para restablece operaciones de amuay no dijo el sabado q eran horas p ...', 'via rt que descaro! ahora ramirez no tiene apuro para restablece operaciones de amuay no dijo el ...']",trust
137,18,137_yolo_couple_seriously_lol,"['yolo', 'couple', 'seriously', 'lol', 'sghaze', 'this', 'hotter', 'hahaha', 'hell', 'haha']","['rt : this couple seriously yolo. lol sghaze', 'rt : this couple seriously yolo. lol sghaze', 'rt : this couple seriously yolo. lol sghaze']",joy
138,18,138_retweet_maringph_prayforthephilippines_take,"['retweet', 'maringph', 'prayforthephilippines', 'take', 'time', 'sunshine', 'sctex', 'tsk', 'this', 'cryin']","['rt : take time to retweet this prayforthephilippines maringph', 'rt : take time to retweet this prayforthephilippines maringph', 'rt : rt : take time to retweet this prayforthephilippines maringph']",trust
139,18,139_felice_ferrara_mirandola_emergenza,"['felice', 'ferrara', 'mirandola', 'emergenza', 'san', 'numeri', 'modena', 'cento', 'di', 'terremoto']","['rt : numeri di emergenza per terremoto: ferrara: modena: mirandola: san felice: c ...', 'rt : rt terremoto numeri di emergenza: ferrara: - modena: - mirandola: -san felice: ...', 'rt : terremoto numeri di emergenza: ferrara: - modena: - mirandola: - san felice: - ...']",trust
